{'loss': 6.82703125, 'learning_rate': 4.390243902439025e-05, 'epoch': 1.4285714285714286}                           
{'loss': 6.796309204101562, 'learning_rate': 4.314024390243903e-05, 'epoch': 1.507936507936508}                     
{'loss': 6.778086547851562, 'learning_rate': 4.237804878048781e-05, 'epoch': 1.5873015873015874}                    
{'loss': 6.745535888671875, 'learning_rate': 4.161585365853659e-05, 'epoch': 1.6666666666666665}                    
{'loss': 6.717069091796875, 'learning_rate': 4.085365853658537e-05, 'epoch': 1.746031746031746}                     
{'loss': 6.70272705078125, 'learning_rate': 4.0091463414634153e-05, 'epoch': 1.8253968253968254}                    
{'loss': 6.693690185546875, 'learning_rate': 3.932926829268293e-05, 'epoch': 1.9047619047619047}                    
{'loss': 6.672201538085938, 'learning_rate': 3.856707317073171e-05, 'epoch': 1.9841269841269842}                    
{'loss': 6.658883056640625, 'learning_rate': 3.780487804878049e-05, 'epoch': 2.0634920634920633}                    
{'loss': 6.643372192382812, 'learning_rate': 3.704268292682927e-05, 'epoch': 2.142857142857143}                     
{'loss': 6.6260205078125, 'learning_rate': 3.628048780487805e-05, 'epoch': 2.2222222222222223}                      
{'loss': 6.6128778076171875, 'learning_rate': 3.551829268292683e-05, 'epoch': 2.3015873015873014}                   
{'loss': 6.604129638671875, 'learning_rate': 3.475609756097561e-05, 'epoch': 2.380952380952381}                     
{'loss': 6.603873901367187, 'learning_rate': 3.399390243902439e-05, 'epoch': 2.4603174603174605}                    
{'loss': 6.583386840820313, 'learning_rate': 3.323170731707317e-05, 'epoch': 2.5396825396825395}                    
{'loss': 6.582799072265625, 'learning_rate': 3.246951219512195e-05, 'epoch': 2.619047619047619}                     
{'loss': 6.568943481445313, 'learning_rate': 3.170731707317073e-05, 'epoch': 2.6984126984126986}                    
{'loss': 6.561175537109375, 'learning_rate': 3.094512195121951e-05, 'epoch': 2.7777777777777777}                    
{'loss': 6.557461547851562, 'learning_rate': 3.0182926829268294e-05, 'epoch': 2.857142857142857}                    
{'loss': 6.548674926757813, 'learning_rate': 2.9420731707317074e-05, 'epoch': 2.9365079365079367}                   
{'loss': 6.551473388671875, 'learning_rate': 2.8658536585365854e-05, 'epoch': 3.015873015873016}                    
{'loss': 6.535135498046875, 'learning_rate': 2.7896341463414637e-05, 'epoch': 3.0952380952380953}                   
{'loss': 6.530040893554688, 'learning_rate': 2.7134146341463417e-05, 'epoch': 3.1746031746031744}                   
{'loss': 6.5276336669921875, 'learning_rate': 2.6371951219512197e-05, 'epoch': 3.253968253968254}                   
{'loss': 6.515433349609375, 'learning_rate': 2.5609756097560977e-05, 'epoch': 3.3333333333333335}                   
{'loss': 6.514935302734375, 'learning_rate': 2.4847560975609756e-05, 'epoch': 3.4126984126984126}                   
{'loss': 6.510303344726562, 'learning_rate': 2.4085365853658536e-05, 'epoch': 3.492063492063492}                    
{'loss': 6.503185424804688, 'learning_rate': 2.332317073170732e-05, 'epoch': 3.571428571428571}                     
{'loss': 6.499043579101563, 'learning_rate': 2.25609756097561e-05, 'epoch': 3.6507936507936507}                     
{'loss': 6.508403930664063, 'learning_rate': 2.179878048780488e-05, 'epoch': 3.7301587301587302}                    
{'loss': 6.493405151367187, 'learning_rate': 2.103658536585366e-05, 'epoch': 3.8095238095238093}                    
{'loss': 6.507052001953125, 'learning_rate': 2.0274390243902442e-05, 'epoch': 3.888888888888889}                    
{'loss': 6.491571044921875, 'learning_rate': 1.9512195121951222e-05, 'epoch': 3.9682539682539684}                   
{'loss': 6.486339111328125, 'learning_rate': 1.8750000000000002e-05, 'epoch': 4.0476190476190474}                   
{'loss': 6.479519653320312, 'learning_rate': 1.798780487804878e-05, 'epoch': 4.1269841269841265}                    
{'loss': 6.473251953125, 'learning_rate': 1.722560975609756e-05, 'epoch': 4.2063492063492065}                       
{'loss': 6.468616333007812, 'learning_rate': 1.6463414634146345e-05, 'epoch': 4.285714285714286}                    
{'loss': 6.474338989257813, 'learning_rate': 1.5701219512195124e-05, 'epoch': 4.365079365079365}                    
{'loss': 6.466070556640625, 'learning_rate': 1.4939024390243902e-05, 'epoch': 4.444444444444445}                    
{'loss': 6.468783569335938, 'learning_rate': 1.4176829268292682e-05, 'epoch': 4.523809523809524}                    
{'loss': 6.456761474609375, 'learning_rate': 1.3414634146341466e-05, 'epoch': 4.603174603174603}                    
{'loss': 6.469296264648437, 'learning_rate': 1.2652439024390245e-05, 'epoch': 4.682539682539683}                    
{'loss': 6.46397216796875, 'learning_rate': 1.1890243902439025e-05, 'epoch': 4.761904761904762}                     
{'loss': 6.4557421875, 'learning_rate': 1.1128048780487805e-05, 'epoch': 4.841269841269841}                         
{'loss': 6.453071899414063, 'learning_rate': 1.0365853658536585e-05, 'epoch': 4.920634920634921}                    
{'loss': 6.455739135742188, 'learning_rate': 9.603658536585366e-06, 'epoch': 5.0}                                   
{'loss': 6.444765014648437, 'learning_rate': 8.841463414634146e-06, 'epoch': 5.079365079365079}                     
{'loss': 6.451184692382813, 'learning_rate': 8.079268292682928e-06, 'epoch': 5.158730158730159}                     
{'loss': 6.451240844726563, 'learning_rate': 7.317073170731707e-06, 'epoch': 5.238095238095238}                     
{'loss': 6.445015258789063, 'learning_rate': 6.554878048780488e-06, 'epoch': 5.317460317460317}                     
{'loss': 6.4512939453125, 'learning_rate': 5.792682926829269e-06, 'epoch': 5.396825396825397}                       
{'loss': 6.452154541015625, 'learning_rate': 5.030487804878049e-06, 'epoch': 5.476190476190476}                     
{'loss': 6.45124267578125, 'learning_rate': 4.26829268292683e-06, 'epoch': 5.555555555555555}                       
{'loss': 6.45306884765625, 'learning_rate': 3.5060975609756102e-06, 'epoch': 5.634920634920634}                     
{'loss': 6.44236572265625, 'learning_rate': 2.7439024390243905e-06, 'epoch': 5.714285714285714}                     
{'loss': 6.443861083984375, 'learning_rate': 1.9817073170731707e-06, 'epoch': 5.7936507936507935}                   
{'loss': 6.443381958007812, 'learning_rate': 1.2195121951219514e-06, 'epoch': 5.8730158730158735}                   
{'loss': 6.439960327148437, 'learning_rate': 4.573170731707317e-07, 'epoch': 5.9523809523809526}                    
{'train_runtime': 2430.1249, 'train_samples_per_second': 1.555, 'epoch': 6.0}                                       
100%|███████████████████████████████████████████████████████████████████████████| 3780/3780 [40:30<00:00,  1.56it/s]
